DATETRANSACTION;NumClient;SensTransaction;NumeroValeur;QuantiteNegociee;CoursTransaction;Montant;NAT;GESTION;COMMERC;SOLDE;Depose;TUNSFAX
03/09/2018 11:17;55586;A;1570;5;104,248;521,24;TN;LIBRE;52;0;O;T
03/09/2018 11:45;9138;A;1570;10;104,248;1042,48;TN;LIBRE;9;95,315;O;S
04/09/2018 09:30;21345;A;1570;7;102,500;717,50;TN;LIBRE;34;0;O;T
04/09/2018 09:45;88222;V;1570;8;101,750;814,00;TN;LIBRE;56;30,000;N;T
05/09/2018 14:10;33421;A;1570;15;105,000;1575,00;TN;LIBRE;23;45,000;O;S
05/09/2018 14:35;7745;A;1570;6;100,500;603,00;TN;LIBRE;13;12,000;N;T
06/09/2018 10:20;91234;A;1570;12;106,000;1272,00;TN;LIBRE;9;60,000;O;S
07/09/2018 12:50;56890;V;1570;20;103,000;2060,00;TN;LIBRE;52;100,000;N;T
09/09/2018 09:15;23456;A;1570;9;107,500;967,50;TN;LIBRE;34;70,000;O;S
09/09/2018 13:45;67890;A;1570;8;102,000;816,00;TN;LIBRE;23;85,000;N;T
10/09/2018 11:30;12876;A;1570;7;108,000;756,00;TN;LIBRE;56;110,000;O;S
11/09/2018 09:00;34567;A;1570;12;103,500;1242,00;TN;LIBRE;13;65,000;N;T
12/09/2018 14:25;98765;V;1570;11;109,000;1199,00;TN;LIBRE;9;55,000;O;S
13/09/2018 10:45;24680;A;1570;10;104,000;1040,00;TN;LIBRE;52;95,000;N;T
14/09/2018 15:30;86420;A;1570;14;110,500;1547,00;TN;LIBRE;34;90,000;O;S
15/09/2018 12:10;54321;A;1570;9;102,750;924,75;TN;LIBRE;23;75,000;N;T
16/09/2018 11:00;12345;A;1570;6;105,500;633,00;TN;LIBRE;56;80,000;O;S
17/09/2024 10:00;67891;V;1570;13;101,500;1319,50;TN;LIBRE;13;65,000;N;T
18/09/2024 13:20;98765;A;1570;8;106,000;848,00;TN;LIBRE;9;85,000;O;S
19/09/2024 09:50;54321;A;1570;15;100,250;1503,75;TN;LIBRE;52;90,000;N;T
